profile,programmer_type
"{""Go"": [102741, 156], ""Python"": [1250907, 1], ""HTML"": [544284, 26], ""SQL"": [721034, 285], ""CSS"": [248252, 179], ""PHP"": [728694, 83]}",FullStack
"{""C#"": [52899, 13], ""C++"": [93009, 231], ""Python"": [384079, 130], ""Rust"": [41040, 38], ""Lua"": [308662, 229]}",GameDev
"{""Rust"": [65999, 67], ""Lua"": [539609, 54], ""Python"": [83270, 157], ""C++"": [334329, 222], ""C#"": [505590, 2]}",GameDev
"{""Go"": [156755, 19], ""Python"": [182326, 86], ""Shell"": [1303705, 205], ""Dockerfile"": [182910, 257], ""YAML"": [481302, 71], ""HCL"": [147984, 98], ""Groovy"": [485273, 196]}",DevOps
"{""JavaScript"": [721505, 79], ""Python"": [1141259, 214], ""C"": [204697, 166], ""C++"": [282397, 47], ""Shell"": [210361, 292], ""PHP"": [232302, 290]}",CyberSecurity
"{""Julia"": [732533, 55], ""R"": [380876, 51], ""SQL"": [639724, 114], ""MATLAB"": [167498, 153], ""Scala"": [30231, 119]}",DataScientist
"{""Julia"": [520214, 19], ""Python"": [448009, 152], ""MATLAB"": [116671, 175], ""R"": [141765, 155], ""Scala"": [535315, 34], ""SQL"": [242405, 252]}",DataScientist
"{""Vue"": [426783, 192], ""Sass"": [182743, 168], ""CSS"": [720427, 21], ""JavaScript"": [2478, 219], ""React"": [119140, 158], ""HTML"": [344895, 118], ""TypeScript"": [893902, 104]}",Frontend
"{""C#"": [842397, 240], ""PHP"": [817509, 88], ""Go"": [369265, 80], ""Python"": [409325, 89], ""Node.js"": [249827, 23], ""Ruby"": [426131, 283]}",Backend
"{""Shell"": [483438, 78], ""Python"": [852424, 295], ""Dockerfile"": [443339, 195], ""HCL"": [678803, 231]}",DevOps
"{""Kotlin"": [826702, 246], ""Dart"": [487623, 175], ""Swift"": [362269, 248], ""JavaScript"": [226104, 300]}",Mobile
"{""SQL"": [26749, 218], ""Bash"": [1118698, 158], ""Python"": [818568, 131], ""Go"": [405687, 222], ""Java"": [509067, 176], ""Scala"": [1504615, 251]}",DataEngineer
"{""Kotlin"": [173871, 45], ""JavaScript"": [838101, 267], ""Swift"": [323211, 171], ""Java"": [432773, 77]}",Mobile
"{""Scala"": [178696, 65], ""R"": [27257, 267], ""Python"": [277198, 23], ""Julia"": [735402, 254], ""MATLAB"": [298241, 43], ""SQL"": [846602, 132]}",DataScientist
"{""JavaScript"": [359539, 219], ""Swift"": [1076223, 82], ""Dart"": [336152, 265], ""Java"": [1236919, 278], ""Kotlin"": [110721, 149]}",Mobile
"{""SQL"": [306218, 122], ""Python"": [26023, 286], ""Bash"": [165758, 290], ""Java"": [883469, 78], ""Go"": [857569, 266]}",DataEngineer
"{""C++"": [802118, 244], ""Python"": [342454, 57], ""Lua"": [709196, 72], ""Rust"": [238832, 256], ""C#"": [272201, 2]}",GameDev
"{""CSS"": [541996, 61], ""Vue"": [1054858, 66], ""JavaScript"": [33217, 62], ""Sass"": [1116250, 204], ""TypeScript"": [828943, 298], ""React"": [44836, 40], ""HTML"": [1137502, 34]}",Frontend
"{""PHP"": [115824, 135], ""SQL"": [269061, 180], ""JavaScript"": [192986, 83], ""Python"": [83757, 281], ""HTML"": [489938, 28], ""Go"": [571887, 210], ""CSS"": [156966, 86]}",FullStack
"{""Python"": [176554, 235], ""HCL"": [866988, 252], ""Go"": [523241, 123], ""Groovy"": [622424, 140]}",DevOps
"{""Swift"": [367121, 145], ""Java"": [90416, 172], ""Kotlin"": [833021, 266], ""JavaScript"": [216810, 73]}",Mobile
"{""Kotlin"": [792224, 4], ""Java"": [519712, 249], ""Dart"": [678905, 162], ""Swift"": [282178, 287]}",Mobile
"{""Scala"": [515754, 151], ""Go"": [645815, 11], ""Java"": [425679, 249], ""Python"": [225933, 98], ""Bash"": [229559, 234], ""SQL"": [333809, 123]}",DataEngineer
"{""C++"": [591999, 115], ""C#"": [808901, 63], ""Python"": [142683, 298], ""Lua"": [342616, 288]}",GameDev
"{""MATLAB"": [273539, 252], ""R"": [514176, 123], ""Python"": [427445, 208], ""SQL"": [77199, 271], ""Scala"": [312818, 294], ""Julia"": [932295, 255]}",DataScientist
"{""CSS"": [596258, 280], ""React"": [1152352, 5], ""Vue"": [119561, 245], ""Sass"": [281846, 197], ""HTML"": [1564972, 269], ""TypeScript"": [496246, 180]}",Frontend
"{""Go"": [320164, 181], ""SQL"": [743632, 75], ""Scala"": [215748, 98], ""Bash"": [163971, 127]}",DataEngineer
"{""Go"": [791858, 199], ""Python"": [498550, 258], ""Ruby"": [4808, 16], ""PowerShell"": [662483, 293], ""Batch"": [81454, 154]}",Automation
"{""Vue"": [157643, 41], ""Sass"": [15587, 189], ""CSS"": [570521, 103], ""React"": [526972, 187], ""HTML"": [96738, 240]}",Frontend
"{""React"": [600408, 196], ""Sass"": [926842, 67], ""JavaScript"": [666679, 162], ""Vue"": [370386, 11]}",Frontend
"{""Python"": [257377, 211], ""Node.js"": [89893, 225], ""SQL"": [100344, 195], ""PHP"": [838465, 245], ""Ruby"": [539669, 179], ""C#"": [387206, 119]}",Backend
"{""JavaScript"": [275333, 176], ""HTML"": [403599, 200], ""Go"": [167883, 27], ""SQL"": [222786, 190], ""CSS"": [953810, 251], ""Python"": [96656, 79]}",FullStack
"{""HTML"": [354435, 174], ""CSS"": [262759, 63], ""JavaScript"": [362291, 128], ""React"": [110568, 88], ""TypeScript"": [229900, 225], ""Vue"": [653680, 77]}",Frontend
"{""Go"": [30484, 284], ""PHP"": [207848, 11], ""HTML"": [98226, 61], ""CSS"": [665807, 88], ""SQL"": [180583, 183]}",FullStack
"{""TypeScript"": [411880, 169], ""HTML"": [144072, 38], ""JavaScript"": [210208, 138], ""React"": [97636, 232]}",Frontend
"{""PowerShell"": [3005, 249], ""Ruby"": [53880, 247], ""Go"": [39132, 41], ""Python"": [500648, 287], ""Batch"": [824893, 284], ""Shell"": [209580, 157]}",Automation
"{""Lua"": [483239, 216], ""Rust"": [177718, 203], ""C#"": [288722, 133], ""C++"": [302641, 299], ""Python"": [14433, 265]}",GameDev
"{""React"": [211512, 152], ""TypeScript"": [16100, 152], ""CSS"": [71184, 174], ""Sass"": [162011, 90], ""Vue"": [266033, 49], ""JavaScript"": [102721, 187], ""HTML"": [291165, 11]}",Frontend
"{""CSS"": [987199, 63], ""SQL"": [1082072, 144], ""HTML"": [247206, 43], ""PHP"": [226981, 136], ""JavaScript"": [1230727, 158]}",FullStack
"{""Scala"": [165904, 236], ""Python"": [121787, 209], ""Julia"": [447411, 73], ""MATLAB"": [172105, 216], ""SQL"": [5179, 96]}",DataScientist
"{""HCL"": [463601, 170], ""Groovy"": [535128, 119], ""Dockerfile"": [19482, 49], ""YAML"": [795398, 222], ""Go"": [236554, 226], ""Shell"": [69964, 250], ""Python"": [72764, 245]}",DevOps
"{""PHP"": [772339, 148], ""Go"": [1209651, 295], ""CSS"": [1172567, 41], ""HTML"": [462813, 154], ""JavaScript"": [149765, 122]}",FullStack
"{""PHP"": [177415, 266], ""CSS"": [618011, 228], ""SQL"": [751643, 241], ""JavaScript"": [466330, 223], ""Go"": [183124, 279], ""Python"": [216349, 136]}",FullStack
"{""CSS"": [376061, 182], ""TypeScript"": [147557, 211], ""HTML"": [24556, 88], ""JavaScript"": [24483, 190], ""React"": [164164, 83], ""Vue"": [879684, 295]}",Frontend
"{""SQL"": [325946, 47], ""HTML"": [583575, 23], ""PHP"": [110757, 295], ""CSS"": [87371, 209]}",FullStack
"{""Kotlin"": [253383, 63], ""Swift"": [11870, 24], ""Dart"": [310732, 127], ""JavaScript"": [529131, 16], ""Java"": [184051, 243]}",Mobile
"{""Ruby"": [196813, 276], ""PowerShell"": [188028, 59], ""Python"": [404387, 106], ""Batch"": [319231, 211], ""Go"": [666306, 284], ""Shell"": [195296, 66]}",Automation
"{""Java"": [37721, 151], ""Swift"": [192616, 1], ""Dart"": [161575, 158], ""JavaScript"": [199935, 74]}",Mobile
"{""Shell"": [459883, 3], ""Python"": [227670, 291], ""YAML"": [194308, 116], ""Dockerfile"": [639399, 202], ""Groovy"": [69827, 20]}",DevOps
"{""SQL"": [350841, 165], ""Bash"": [427517, 275], ""Scala"": [1065490, 119], ""Go"": [357365, 16], ""Java"": [10174, 49], ""Python"": [260299, 191]}",DataEngineer
"{""Python"": [607499, 283], ""C#"": [1011503, 210], ""C++"": [518731, 65], ""Rust"": [514946, 80]}",GameDev
"{""PowerShell"": [99901, 291], ""Go"": [165761, 108], ""Batch"": [101157, 280], ""Shell"": [184254, 35]}",Automation
"{""Shell"": [157045, 80], ""Ruby"": [603350, 211], ""Go"": [577153, 232], ""Batch"": [150279, 279], ""Python"": [690829, 162]}",Automation
"{""Go"": [36502, 143], ""Dockerfile"": [415188, 32], ""Shell"": [648038, 172], ""YAML"": [421103, 212]}",DevOps
"{""Groovy"": [140295, 105], ""Go"": [726192, 263], ""YAML"": [573594, 163], ""Python"": [242919, 142]}",DevOps
"{""JavaScript"": [15198, 152], ""Sass"": [303967, 134], ""TypeScript"": [153874, 172], ""Vue"": [1249420, 78]}",Frontend
"{""Groovy"": [662928, 203], ""Dockerfile"": [627482, 182], ""Shell"": [413155, 161], ""Go"": [513097, 194], ""Python"": [270371, 106], ""HCL"": [1231389, 112]}",DevOps
"{""Rust"": [496306, 41], ""C#"": [317251, 264], ""C++"": [660610, 114], ""Python"": [879909, 39], ""Lua"": [955420, 56]}",GameDev
"{""Go"": [304608, 247], ""Ruby"": [413431, 94], ""Python"": [602734, 112], ""Batch"": [291055, 63]}",Automation
"{""Lua"": [366670, 80], ""C++"": [48020, 240], ""Python"": [520970, 241], ""C#"": [1492079, 288], ""Rust"": [87803, 23]}",GameDev
"{""Sass"": [795332, 250], ""TypeScript"": [245358, 141], ""CSS"": [449056, 213], ""React"": [795610, 51]}",Frontend
"{""YAML"": [1044342, 88], ""Dockerfile"": [364472, 278], ""Python"": [940159, 104], ""Groovy"": [601879, 257], ""HCL"": [395187, 167], ""Shell"": [200196, 201]}",DevOps
"{""HTML"": [654633, 164], ""PHP"": [252689, 181], ""JavaScript"": [638978, 205], ""Python"": [744528, 55]}",FullStack
"{""SQL"": [760760, 56], ""Bash"": [956643, 282], ""Scala"": [864031, 155], ""Java"": [611835, 190], ""Python"": [853848, 152]}",DataEngineer
"{""SQL"": [205036, 131], ""JavaScript"": [185803, 53], ""CSS"": [40933, 93], ""HTML"": [892705, 121], ""Go"": [87264, 43], ""Python"": [756340, 280]}",FullStack
"{""Python"": [150197, 177], ""Shell"": [313619, 105], ""Go"": [359472, 70], ""HCL"": [1048075, 296], ""YAML"": [615722, 125], ""Groovy"": [15091, 20]}",DevOps
"{""Shell"": [1018246, 263], ""Groovy"": [671987, 96], ""Dockerfile"": [362430, 264], ""Python"": [80765, 95], ""Go"": [460513, 255], ""YAML"": [689850, 235], ""HCL"": [238031, 155]}",DevOps
"{""Lua"": [724716, 109], ""C++"": [732483, 180], ""Rust"": [494785, 214], ""C#"": [282680, 112]}",GameDev
"{""JavaScript"": [67084, 175], ""Shell"": [318652, 268], ""PHP"": [412331, 121], ""Go"": [527806, 119]}",CyberSecurity
"{""R"": [916589, 139], ""Julia"": [197274, 237], ""SQL"": [1193771, 254], ""Python"": [547557, 111]}",DataScientist
"{""Python"": [280625, 49], ""PHP"": [635080, 15], ""Go"": [433887, 299], ""HTML"": [345617, 7], ""JavaScript"": [166972, 251], ""SQL"": [301793, 266]}",FullStack
"{""Sass"": [997413, 240], ""React"": [771585, 125], ""JavaScript"": [172684, 17], ""CSS"": [677478, 31], ""HTML"": [31200, 150], ""Vue"": [757888, 164], ""TypeScript"": [434743, 46]}",Frontend
"{""Scala"": [314384, 195], ""Go"": [210691, 74], ""Bash"": [20144, 174], ""Python"": [738816, 182], ""SQL"": [272428, 66]}",DataEngineer
"{""Lua"": [221251, 94], ""Python"": [128985, 241], ""Rust"": [885229, 20], ""C#"": [309774, 121]}",GameDev
"{""Vue"": [617954, 25], ""TypeScript"": [543565, 193], ""React"": [480710, 237], ""Sass"": [31838, 89], ""CSS"": [90120, 25], ""HTML"": [1255556, 199], ""JavaScript"": [35047, 241]}",Frontend
"{""Java"": [757306, 290], ""SQL"": [36737, 113], ""Go"": [553887, 108], ""Python"": [9925, 152]}",Backend
"{""Kotlin"": [50238, 281], ""JavaScript"": [198234, 12], ""Java"": [273919, 19], ""Dart"": [175982, 139]}",Mobile
"{""SQL"": [190545, 35], ""Python"": [1107029, 11], ""C#"": [651275, 211], ""Node.js"": [827105, 114], ""PHP"": [353784, 102], ""Ruby"": [746757, 67], ""Go"": [533375, 98]}",Backend
"{""Groovy"": [714070, 111], ""YAML"": [141576, 239], ""Shell"": [172753, 254], ""Go"": [544968, 225], ""HCL"": [305706, 154]}",DevOps
"{""Go"": [103092, 119], ""SQL"": [470604, 287], ""Bash"": [853337, 189], ""Scala"": [156623, 69], ""Python"": [391563, 267]}",DataEngineer
"{""MATLAB"": [92306, 82], ""Julia"": [876747, 27], ""Python"": [531599, 24], ""Scala"": [279098, 48], ""R"": [320193, 79], ""SQL"": [437141, 246]}",DataScientist
"{""JavaScript"": [71466, 240], ""Python"": [30196, 212], ""CSS"": [394725, 246], ""HTML"": [32436, 213], ""SQL"": [211815, 60], ""Go"": [460645, 235], ""PHP"": [703913, 176]}",FullStack
"{""Python"": [80635, 171], ""C"": [236634, 242], ""PHP"": [630331, 197], ""C++"": [379481, 277], ""Go"": [363312, 260]}",CyberSecurity
"{""C"": [945847, 291], ""Shell"": [23031, 135], ""Go"": [2771, 105], ""JavaScript"": [494343, 299], ""PHP"": [174438, 285], ""C++"": [227628, 162], ""Python"": [655217, 227]}",CyberSecurity
"{""Julia"": [923551, 2], ""SQL"": [525974, 163], ""Python"": [121400, 96], ""Scala"": [365693, 150], ""MATLAB"": [16491, 102]}",DataScientist
"{""PowerShell"": [211049, 139], ""Batch"": [664845, 122], ""Python"": [61219, 276], ""Ruby"": [374108, 178]}",Automation
"{""R"": [1043033, 185], ""Python"": [501430, 234], ""Scala"": [808416, 293], ""Julia"": [909201, 107]}",DataScientist
"{""Scala"": [491930, 111], ""Bash"": [434546, 37], ""SQL"": [314612, 248], ""Go"": [329245, 287], ""Java"": [575699, 108], ""Python"": [277180, 44]}",DataEngineer
"{""HTML"": [411799, 96], ""TypeScript"": [79955, 134], ""Sass"": [696525, 37], ""CSS"": [236337, 206], ""Vue"": [461951, 64]}",Frontend
"{""Python"": [90254, 225], ""Shell"": [184756, 154], ""Ruby"": [538718, 29], ""Batch"": [246811, 283], ""Go"": [466978, 266]}",Automation
"{""HCL"": [107362, 69], ""Groovy"": [61653, 261], ""Shell"": [255703, 27], ""YAML"": [127773, 295], ""Go"": [216422, 167]}",DevOps
"{""Dart"": [81719, 295], ""Java"": [683630, 191], ""JavaScript"": [42688, 218], ""Swift"": [82517, 51]}",Mobile
"{""SQL"": [294479, 157], ""Go"": [493520, 263], ""HTML"": [60316, 223], ""JavaScript"": [219874, 88], ""PHP"": [171690, 184], ""Python"": [19849, 108]}",FullStack
"{""Kotlin"": [275815, 290], ""Java"": [264829, 99], ""JavaScript"": [99623, 5], ""Swift"": [1177991, 145]}",Mobile
"{""Sass"": [887981, 191], ""Vue"": [274864, 36], ""CSS"": [200400, 272], ""JavaScript"": [128800, 46], ""React"": [122422, 113]}",Frontend
"{""JavaScript"": [207352, 236], ""Go"": [723903, 183], ""C++"": [618736, 37], ""PHP"": [303223, 295], ""Python"": [332211, 234]}",CyberSecurity
"{""Python"": [56808, 299], ""Scala"": [204163, 228], ""SQL"": [20098, 100], ""Julia"": [126076, 2], ""R"": [42648, 216], ""MATLAB"": [269276, 246]}",DataScientist
"{""Node.js"": [873677, 234], ""Python"": [8858, 8], ""Java"": [579835, 232], ""Go"": [291262, 42], ""PHP"": [855666, 91], ""SQL"": [975070, 245], ""C#"": [567406, 258]}",Backend
"{""CSS"": [171462, 113], ""PHP"": [365464, 68], ""HTML"": [478993, 157], ""SQL"": [278418, 197], ""JavaScript"": [802013, 264]}",FullStack
"{""React"": [836535, 272], ""Vue"": [573599, 235], ""JavaScript"": [176655, 113], ""Sass"": [720699, 118], ""TypeScript"": [885288, 255], ""HTML"": [159952, 137]}",Frontend
"{""PHP"": [293759, 1], ""Go"": [691714, 200], ""Python"": [505346, 297], ""Shell"": [511826, 254], ""C++"": [413375, 192], ""JavaScript"": [104386, 292], ""C"": [357966, 144]}",CyberSecurity
"{""Dockerfile"": [357342, 169], ""Python"": [910023, 204], ""Groovy"": [1154596, 179], ""Go"": [1094772, 164], ""YAML"": [191014, 128]}",DevOps
"{""Python"": [537299, 180], ""R"": [910361, 35], ""Scala"": [332332, 74], ""MATLAB"": [954507, 17], ""SQL"": [238239, 144]}",DataScientist
"{""Java"": [409173, 97], ""Python"": [153039, 210], ""SQL"": [359743, 295], ""Node.js"": [726340, 241]}",Backend
"{""Scala"": [142225, 241], ""Go"": [286137, 246], ""Bash"": [348651, 60], ""SQL"": [353426, 283], ""Java"": [75001, 60], ""Python"": [346376, 81]}",DataEngineer
"{""Python"": [225823, 292], ""SQL"": [1036985, 283], ""Java"": [723822, 124], ""Ruby"": [113579, 140], ""Node.js"": [909441, 258], ""PHP"": [1108623, 62], ""C#"": [389209, 279]}",Backend
"{""Go"": [24452, 116], ""Scala"": [134972, 262], ""Bash"": [127014, 287], ""SQL"": [438442, 43], ""Java"": [175338, 278]}",DataEngineer
"{""PHP"": [60077, 85], ""CSS"": [683915, 142], ""Go"": [181052, 71], ""Python"": [480150, 218], ""JavaScript"": [31414, 46], ""SQL"": [175009, 296], ""HTML"": [686446, 292]}",FullStack
"{""PowerShell"": [91099, 158], ""Ruby"": [288849, 21], ""Python"": [495029, 170], ""Shell"": [479474, 96], ""Batch"": [243608, 144], ""Go"": [186339, 115]}",Automation
"{""HTML"": [994353, 223], ""SQL"": [362591, 210], ""Python"": [1045068, 299], ""CSS"": [322414, 181], ""JavaScript"": [676282, 46], ""PHP"": [505779, 299]}",FullStack
"{""CSS"": [416929, 151], ""JavaScript"": [764430, 297], ""Python"": [420476, 22], ""HTML"": [422972, 168], ""PHP"": [485713, 86]}",FullStack
"{""Go"": [369443, 216], ""SQL"": [136750, 188], ""Node.js"": [913676, 120], ""Python"": [251235, 118], ""C#"": [1350316, 218], ""Ruby"": [342441, 133]}",Backend
"{""Batch"": [531035, 208], ""Ruby"": [819224, 258], ""Go"": [43538, 205], ""Shell"": [225092, 69]}",Automation
"{""Lua"": [442670, 93], ""C++"": [2241, 295], ""Rust"": [485541, 287], ""Python"": [151348, 188]}",GameDev
"{""C#"": [372066, 194], ""Java"": [604424, 143], ""Node.js"": [106869, 219], ""SQL"": [419062, 119]}",Backend
"{""Batch"": [585464, 31], ""Shell"": [96092, 197], ""Python"": [378726, 277], ""Go"": [484512, 290], ""PowerShell"": [27594, 49]}",Automation
"{""Python"": [81190, 26], ""PHP"": [842082, 140], ""JavaScript"": [75048, 291], ""Go"": [44938, 225], ""Shell"": [306302, 266]}",CyberSecurity
"{""Dockerfile"": [191278, 72], ""YAML"": [255802, 99], ""Python"": [570587, 80], ""Groovy"": [527038, 243]}",DevOps
"{""Python"": [935813, 151], ""CSS"": [2030, 141], ""Go"": [581124, 14], ""HTML"": [448920, 128], ""JavaScript"": [199738, 239]}",FullStack
"{""R"": [564470, 83], ""MATLAB"": [941108, 61], ""Scala"": [205679, 92], ""Julia"": [170724, 162]}",DataScientist
"{""MATLAB"": [394065, 297], ""SQL"": [815261, 76], ""Julia"": [1074251, 161], ""Scala"": [75325, 42]}",DataScientist
"{""SQL"": [586904, 151], ""HTML"": [726954, 111], ""Python"": [44020, 222], ""CSS"": [47667, 43]}",FullStack
"{""YAML"": [237587, 136], ""Dockerfile"": [175697, 299], ""Shell"": [341795, 153], ""HCL"": [67542, 264], ""Groovy"": [30694, 17]}",DevOps
"{""Python"": [398311, 203], ""Lua"": [976078, 199], ""Rust"": [197884, 85], ""C++"": [244320, 117]}",GameDev
"{""Python"": [50350, 35], ""Ruby"": [140621, 177], ""Batch"": [115525, 191], ""PowerShell"": [33863, 14], ""Shell"": [319714, 19]}",Automation
"{""Java"": [955187, 272], ""Kotlin"": [298686, 229], ""JavaScript"": [1152572, 19], ""Dart"": [297027, 22], ""Swift"": [23484, 126]}",Mobile
"{""PHP"": [135841, 281], ""SQL"": [297944, 98], ""Python"": [1007131, 117], ""Go"": [441526, 40], ""Node.js"": [578956, 39], ""C#"": [172741, 229], ""Java"": [433091, 258]}",Backend
"{""R"": [757869, 215], ""SQL"": [855294, 287], ""MATLAB"": [611418, 49], ""Python"": [1660064, 243]}",DataScientist
"{""Shell"": [219869, 169], ""HCL"": [479985, 59], ""Dockerfile"": [225220, 26], ""Groovy"": [36614, 23], ""YAML"": [19763, 86]}",DevOps
"{""Python"": [676133, 125], ""SQL"": [958173, 130], ""MATLAB"": [273429, 299], ""Julia"": [403875, 108], ""R"": [922551, 212]}",DataScientist
"{""Java"": [666856, 6], ""SQL"": [92846, 114], ""Python"": [343463, 234], ""Bash"": [396794, 160]}",DataEngineer
"{""Python"": [72726, 276], ""Groovy"": [243518, 249], ""Go"": [332434, 50], ""HCL"": [556754, 192], ""Shell"": [374028, 96], ""YAML"": [160715, 297], ""Dockerfile"": [391028, 282]}",DevOps
"{""Kotlin"": [693314, 164], ""Java"": [111592, 6], ""Dart"": [848282, 246], ""JavaScript"": [191676, 260]}",Mobile
"{""C#"": [165615, 201], ""Python"": [373030, 237], ""Rust"": [720823, 291], ""Lua"": [456694, 74], ""C++"": [727409, 222]}",GameDev
"{""JavaScript"": [1177194, 196], ""Go"": [194773, 25], ""CSS"": [309197, 147], ""PHP"": [425679, 91], ""SQL"": [281103, 292]}",FullStack
"{""Java"": [336105, 108], ""Swift"": [117584, 198], ""Dart"": [59722, 87], ""Kotlin"": [419344, 233]}",Mobile
"{""Julia"": [227421, 133], ""Python"": [243065, 49], ""MATLAB"": [715765, 245], ""Scala"": [730321, 92]}",DataScientist
"{""Rust"": [877807, 289], ""C#"": [144705, 272], ""Python"": [738077, 243], ""C++"": [145088, 211]}",GameDev
"{""PHP"": [428876, 209], ""C++"": [261194, 211], ""Go"": [241827, 285], ""JavaScript"": [264628, 272]}",CyberSecurity
"{""Kotlin"": [166649, 219], ""Dart"": [116985, 286], ""Java"": [32698, 40], ""JavaScript"": [445883, 188], ""Swift"": [439300, 242]}",Mobile
"{""SQL"": [246221, 259], ""Node.js"": [67947, 241], ""PHP"": [559846, 147], ""Ruby"": [355542, 12], ""C#"": [48501, 59], ""Python"": [11101, 247], ""Java"": [199064, 84], ""Go"": [105294, 211]}",Backend
"{""Java"": [678977, 265], ""Dart"": [575547, 34], ""Kotlin"": [1104164, 10], ""Swift"": [720570, 47]}",Mobile
"{""Python"": [1512110, 6], ""PHP"": [642312, 188], ""Go"": [77212, 125], ""CSS"": [844206, 98], ""JavaScript"": [502328, 146], ""SQL"": [1166607, 20], ""HTML"": [89230, 113]}",FullStack
"{""MATLAB"": [519246, 64], ""R"": [17548, 254], ""Scala"": [32352, 219], ""Python"": [47099, 61], ""SQL"": [719267, 281], ""Julia"": [51805, 159]}",DataScientist
"{""Go"": [372253, 213], ""PHP"": [114163, 242], ""HTML"": [216922, 40], ""Python"": [515811, 293]}",FullStack
"{""HCL"": [299798, 88], ""Shell"": [1144924, 255], ""Go"": [77423, 51], ""Python"": [1124156, 20], ""Groovy"": [1465564, 292], ""Dockerfile"": [845620, 100]}",DevOps
"{""Vue"": [544589, 188], ""TypeScript"": [335270, 83], ""JavaScript"": [413122, 254], ""CSS"": [783798, 155], ""Sass"": [164693, 88], ""HTML"": [1637561, 232], ""React"": [413183, 135]}",Frontend
"{""R"": [956376, 53], ""Python"": [829303, 264], ""Scala"": [360523, 60], ""MATLAB"": [191330, 185], ""SQL"": [181095, 281], ""Julia"": [233129, 172]}",DataScientist
"{""Python"": [815394, 68], ""HCL"": [502411, 206], ""Shell"": [319209, 43], ""Go"": [4594, 260], ""YAML"": [344254, 148], ""Groovy"": [93733, 48]}",DevOps
"{""Scala"": [556426, 235], ""SQL"": [288077, 69], ""Go"": [262450, 222], ""Java"": [630259, 144]}",DataEngineer
"{""MATLAB"": [57389, 185], ""Julia"": [94106, 155], ""SQL"": [207554, 264], ""Python"": [1005999, 176]}",DataScientist
"{""TypeScript"": [1259352, 65], ""CSS"": [501389, 135], ""Sass"": [334659, 77], ""React"": [148624, 267]}",Frontend
"{""Scala"": [394185, 3], ""Python"": [622695, 37], ""MATLAB"": [96029, 158], ""SQL"": [50483, 111]}",DataScientist
"{""React"": [210712, 159], ""Sass"": [217745, 61], ""TypeScript"": [76133, 183], ""CSS"": [265189, 58]}",Frontend
"{""Shell"": [415468, 183], ""C++"": [220053, 35], ""Python"": [894395, 189], ""PHP"": [1190975, 216], ""C"": [171091, 5], ""Go"": [124827, 211]}",CyberSecurity
"{""Lua"": [448263, 156], ""Python"": [61685, 229], ""C++"": [763864, 104], ""C#"": [220756, 296]}",GameDev
"{""Batch"": [222910, 50], ""Shell"": [632175, 190], ""Python"": [300756, 83], ""PowerShell"": [500644, 262], ""Ruby"": [499504, 202], ""Go"": [504974, 205]}",Automation
"{""Rust"": [33898, 2], ""Lua"": [366886, 123], ""Python"": [1327793, 187], ""C++"": [358160, 5], ""C#"": [815215, 267]}",GameDev
